Date,Domain Name,No of Groups,No of Users,No of Computer Accounts,No of OUs,No of Admin Accounts with SPN,No of Enabled Accounts with Passwords That Do Not Expire,No of Domains with Members in the Schema Admins Group,No of Computer Accounts with a Risky Operating System,No of Computer Accounts with a Weak Kerberos Encryption Type,No of Accounts That Do Not Require Kerberos Pre-Authentication,No of Accounts That Do Not Require Authorization Data,No of Accounts Trusted for Delegation,No of Accounts Trusted for Kerberos Delegation,No of Accounts with a SID-History Entry from the Current Domain,No of Accounts with an Atypical Primary Group,No of Accounts with No Password Policy,No of Accounts with Passwords That Never Expire,No of Accounts with SID-History Mapping,No of Admin Accounts,No of Azure AD Cloud users,No of Azure Guest users,No of Computer Accounts That Are Also Admin Accounts,No of Disabled Users,No of Domains Where the Native Administrator Account Has Been Recently Accessed,No of Domains Where the Protected Users Group Does Not Exist,No of Domains with a Delinquent Kerberos Account Password,No of Domains without the LAPS Security Feature,No of Empty Groups,No of Enabled but Stale Users,No of Enabled Locked-out Users,No of Enabled Users with Expired Password,No of Executive Accounts,No of External Users,No of Global Access Groups,No of Groups Changes,No of Groups with External Affiliation,No of Groups with Guest Affiliation,No of Groups with Internal Affiliation,No of Groups with Organization-wide Affiliation,No of Groups with Recommendations,No of Guest Users,No of Identified Data Owners,No of Internal Users,No of looped groups,No of Non-Administrator Groups with Administrator Members,No of Service Accounts,No of Stale User Accounts,No of Users with Removal Recommendations,Enable Active Accounts,No of Disable Admin Accounts ,No of Disable Service Accounts ,No of Disable Computers Accounts ,No of Disable Executive Accounts 
01.jan.2024,antt.gov.br,3275,8440,4415,882,0,1048,1,48,1,0,0,0,1,0,20,19,1381,0,84,,,1,4870,0,0,1,1,453,963,0,281,13,,1,0,,,,,906,,7,,7,14,2438,5075,1392,2607,,,,
01.jan.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4671,4914,,,,,,,,,,,,,,,,,,544,473,,,,,,,864,,,,,0,,,51,0,3608,0,,473,,4441,,,,,,4914,,,,
01.nov.2024,antt.gov.br,3312,8915,4740,909,0,1052,0,45,1,0,0,0,1,0,22,19,1443,0,108,,,1,5435,0,0,1,1,511,968,0,270,13,,1,13,,,,,0,,7,,7,16,2520,5580,0,2512,,,,
01.nov.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4905,5114,,,,,,,,,,,,,,,,,,574,493,,,,,,,925,,,,,0,,,50,0,3740,0,,493,,4621,,,,,,5114,,,,
01.dec.2024,antt.gov.br,3314,9025,4755,909,0,1062,0,45,1,0,0,0,1,0,22,19,1466,0,116,,,1,5454,0,0,1,1,508,1177,0,310,13,,1,2,,,,,0,,7,,7,16,2514,5798,0,2394,,,,
01.dec.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4922,5216,,,,,,,,,,,,,,,,,,586,506,,,,,,,926,,,,,0,,,50,0,3753,0,,506,,4710,,,,,,5216,,,,
01.jan.2025,antt.gov.br,3315,9065,4768,911,0,1068,0,45,1,0,0,0,1,0,23,19,1479,0,119,,,1,5464,0,0,1,1,507,1198,0,400,13,,1,24,,,,,0,,7,,7,16,2510,5831,0,2403,,,,
01.jan.2025,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4921,5262,,,,,,,,,,,,,,,,,,599,519,,,,,,,925,,,,,0,,,49,0,3753,0,,519,,4743,,,,,,5262,,,,
01.feb.2025,antt.gov.br,3316,9105,4802,915,0,1070,0,45,1,0,0,0,1,0,23,19,1489,0,119,,,1,5476,0,0,0,1,508,1251,0,396,13,,1,20,,,,,0,,7,,7,15,2510,5881,0,2378,,,,
01.feb.2025,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4930,5302,,,,,,,,,,,,,,,,,,5302,527,,,,,,,934,,,,,0,,,51,0,3728,0,,527,,4775,,,,,,5302,,,,
01.mar.2025,antt.gov.br,3317,9147,4849,917,0,1073,0,45,1,0,0,0,1,0,21,19,1498,0,124,,,1,5491,0,0,1,1,504,1261,0,405,13,,1,8,,,,,0,,7,,7,15,2651,5896,0,2395,,,,
01.mar.2025,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4793,5334,,,,,,,,,,,,,,,,,,609,529,,,,,,,917,,,,,0,,,53,0,3631,0,,529,,4805,,,,,,5334,,,,
01.apr.2025,antt.gov.br,3326,9225,4906,919,0,1076,0,45,1,0,0,0,1,0,23,19,1529,0,131,,,1,5526,0,0,1,1,506,1308,0,426,13,,1,35,,,,,0,,7,,7,15,2544,5947,0,2391,,,,
01.apr.2025,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4824,5440,,,,,,,,,,,,,,,,,,658,578,,,,,,,919,,,,,0,,,59,0,3656,0,,578,,4862,,,,,,5440,,,,
01.may.2025,antt.gov.br,3327,9325,5138,920,0,1078,0,45,1,0,0,0,1,0,24,19,1542,0,133,,,1,5557,0,0,1,1,520,1354,0,493,13,,1,23,,,,,0,,7,,7,15,2557,6006,0,2414,,,,
01.may.2025,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4834,5526,,,,,,,,,,,,,,,,,,659,579,,,,,,,925,,,,,0,,,59,0,3649,0,,579,,4947,,,,,,5526,,,,
01.jun.2025,antt.gov.br,3327,9325,5138,920,0,1078,0,45,1,0,0,0,1,0,24,19,1542,0,133,,,1,5557,0,0,1,1,520,1354,0,493,13,,1,23,,,,,0,,7,,7,15,2557,6006,0,2414,42,1143,684,8
01.jun.2025,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4834,5526,,,,,,,,,,,,,,,,,,659,579,,,,,,,925,,,,,0,,,59,0,3649,0,,579,,4947,,,,,,5526,,,,
